기준년월,광역지자체,방문자 구분,방문자 수
202406,세종특별자치시,외지인방문자(b),2204114.0
202406,세종특별자치시,전체방문자(a+b),7951769.0
202406,세종특별자치시,현지인방문자(a),5747654.0
202407,세종특별자치시,외지인방문자(b),2270026.0
202407,세종특별자치시,전체방문자(a+b),8139148.0
202407,세종특별자치시,현지인방문자(a),5869122.0
202408,세종특별자치시,외지인방문자(b),2345756.0
202408,세종특별자치시,전체방문자(a+b),8184358.0
202408,세종특별자치시,현지인방문자(a),5838602.0
202409,세종특별자치시,외지인방문자(b),2514942.0
202409,세종특별자치시,전체방문자(a+b),8314663.0
202409,세종특별자치시,현지인방문자(a),5799720.0
202410,세종특별자치시,외지인방문자(b),2371926.0
202410,세종특별자치시,전체방문자(a+b),8540112.0
202410,세종특별자치시,현지인방문자(a),6168186.0
202411,세종특별자치시,외지인방문자(b),2242244.0
202411,세종특별자치시,전체방문자(a+b),8476594.0
202411,세종특별자치시,현지인방문자(a),6234350.0
202412,세종특별자치시,외지인방문자(b),2241348.0
202412,세종특별자치시,전체방문자(a+b),8499771.0
202412,세종특별자치시,현지인방문자(a),6258424.0
202501,세종특별자치시,외지인방문자(b),2328333.0
202501,세종특별자치시,전체방문자(a+b),8143359.0
202501,세종특별자치시,현지인방문자(a),5815026.0
202502,세종특별자치시,외지인방문자(b),2115362.0
202502,세종특별자치시,전체방문자(a+b),7673074.0
202502,세종특별자치시,현지인방문자(a),5557713.0
202503,세종특별자치시,외지인방문자(b),2696484.0
202503,세종특별자치시,전체방문자(a+b),8664341.0
202503,세종특별자치시,현지인방문자(a),5967857.0
202504,세종특별자치시,외지인방문자(b),2242636.0
202504,세종특별자치시,전체방문자(a+b),8170659.0
202504,세종특별자치시,현지인방문자(a),5928024.0
202505,세종특별자치시,외지인방문자(b),2863542.0
202505,세종특별자치시,전체방문자(a+b),9322789.0
202505,세종특별자치시,현지인방문자(a),6459246.0
